,Selecionar as seguintes causas com 4 dígitos (variável no banco CAUSABAS),Selecionar as seguintes causas com 3 dígitos (variável no banco causa3),Nome atribuído à categoria da variável agravo,Nome do subgrupo do agravo
"A000    Cólera devida a Vibrio cholerae 01, biótipo cholerae    A001    Cólera devida a Vibrio cholerae 01, biótipo El Tor    A009    Cólera não especificada",3,A00,colera,
"A09 Diarreia e gastroenterite orig infecc presum (quadro 3)
",3,A09,diarreia,
A01 Febres tifóide e paratifóide (quadro 4) - somente 03 dígitos A01 até A04 + A06 até A08 ,3,A01,odip,febreenter
,3,A02,odip,salmonela
,3,A03,odip,shiguelose
,3,A04,odip,outrasiibac
,3,A06,odip,amebiase
,3,A07,odip,protozoarios
,3,A08,odip,infecvirais
"A150  Tuberculose pulmonar, com confirmação por exame microscópico da expectoração, com ou sem cultura    A151    Tuberculose pulmonar, com confirmação somente por cultura    A152    Tuberculose pulmonar, com confirmação histológica    A153    Tuberculose pulmonar, com confirmação por meio não especificado    A154    Tuberculose dos gânglios intratorácicos, com confirmação bacteriológica e histológica    A155    Tuberculose da laringe, da traquéia e dos brônquios, com confirmação bacteriológica e histológica    A156    Pleuris tuberculoso, com confirmação bacteriológica e histológicaA157    Tuberculose primária das vias respiratórias, com confirmação bacteriológica e histológica    A158    Outras formas de tuberculose das vias respiratórias, com confirmação bacteriológica e histológica    A159    Tuberculose não especificada das vias respiratórias, com confirmação bacteriológica e histológica***A160    Tuberculose pulmonar com exames bacteriológico e histológico negativos    A161    Tuberculose pulmonar, sem realização de exame bacteriológico ou histológico    A162    Tuberculose pulmonar, sem menção de confirmação bacteriológica ou histológica    A163    Tuberculose dos gânglios intratorácicos, sem menção de confirmação bacteriológica ou histológica    A164    Tuberculose da laringe, da traquéia e dos brônquios, sem menção de confirmação bacteriológica ou histológica    A165    Pleurisia tuberculosa, sem menção de confirmação bacteriológica ou histológica    A167    Tuberculosa respiratória primária sem menção de confirmação bacteriológica ou histológica    A168    Outras formas de tuberculose das vias respiratórias, sem menção de confirmação bacteriológica ou histológica    A169    Tuberculose respiratória, não especificada, sem menção de confirmação bacteriológica ou histológica",3,A15,tubresp,
,3,A16,tubresp,
,4,A170,tbsistnerv,
,4,A171,tbsistnerv,
,4,A178,tbsistnerv,
